date,co2,treatment_dummy,post_dummy,treatment_post_dummy
2010-03-01,48712249500.0,1,0,0
2010-04-01,43189587730.0,1,0,0
2010-05-01,41028747850.0,1,0,0
2010-06-01,35923587780.0,1,0,0
2010-07-01,35982371380.0,1,0,0
2010-08-01,34842972050.0,1,0,0
2010-09-01,36951306310.0,1,0,0
2010-10-01,42406937290.0,1,0,0
2010-11-01,48229163430.0,1,0,0
2010-12-01,54964953850.0,1,0,0
2016-01-01,41522125250.0,1,1,1
2016-02-01,40678922650.0,1,1,1
2016-03-01,42003529780.0,1,1,1
2016-04-01,39384057240.0,1,1,1
2016-05-01,33903110430.0,1,1,1
2016-06-01,31053998390.0,1,1,1
2016-07-01,30252678830.0,1,1,1
2016-08-01,29747420040.0,1,1,1
2016-09-01,30822168800.0,1,1,1
2016-10-01,37649474450.0,1,1,1
2016-11-01,42305756730.0,1,1,1
2016-12-01,41277866120.0,1,1,1
