date,act,pred
2010-08-01,0.0034530112927377843,-114821139.85482903
2010-09-01,0.022435862834754516,-59063190.139697134
2010-10-01,0.013382859946673875,-152454941.8912791
2010-11-01,0.056736133170566916,43471947.5646812
2010-12-01,-0.0283687689122587,-114361834.00401539
2011-01-01,-0.0046276266720326475,188602900.16085178
2011-02-01,0.08907692736877593,140809351.66653204
2011-03-01,0.10312499798717667,226359764.69152284
2011-04-01,-0.052878533272583184,28131274.834640205
2011-05-01,0.0634710584042999,58525116.228330985
2011-06-01,0.01427902550527449,8423849.298215449
2011-07-01,-0.08375858892938481,-58898208.15463557
2011-08-01,-0.05034870784376011,-34045670.74939445
2011-09-01,-0.09683573215344765,-129820977.57561095
2011-10-01,-0.07971021523362509,-65261930.2523469
