,country,date,year,month,infl
412,belgium,2014-05-01,2014,5,-0.002
413,belgium,2014-06-01,2014,6,0.002
414,belgium,2014-07-01,2014,7,-0.013000000000000001
415,belgium,2014-08-01,2014,8,0.013999999999999999
416,belgium,2014-09-01,2014,9,-0.004
417,belgium,2014-10-01,2014,10,0.0
418,belgium,2014-11-01,2014,11,-0.002
419,belgium,2014-12-01,2014,12,0.0
420,belgium,2015-01-01,2015,1,-0.021
421,belgium,2015-02-01,2015,2,0.024
422,belgium,2015-03-01,2015,3,0.003
423,belgium,2015-04-01,2015,4,0.003
424,belgium,2015-05-01,2015,5,0.003
425,belgium,2015-06-01,2015,6,0.002
426,belgium,2015-07-01,2015,7,-0.013000000000000001
427,belgium,2015-08-01,2015,8,0.013000000000000001
428,belgium,2015-09-01,2015,9,-0.002
429,belgium,2015-10-01,2015,10,0.003
430,belgium,2015-11-01,2015,11,0.001
431,belgium,2015-12-01,2015,12,0.0
432,belgium,2016-01-01,2016,1,-0.017
433,belgium,2016-02-01,2016,2,0.017
434,belgium,2016-03-01,2016,3,0.008
435,belgium,2016-04-01,2016,4,0.002
436,belgium,2016-05-01,2016,5,0.004
437,belgium,2016-06-01,2016,6,0.004
438,belgium,2016-07-01,2016,7,-0.011000000000000001
439,belgium,2016-08-01,2016,8,0.013000000000000001
440,belgium,2016-09-01,2016,9,-0.004
441,belgium,2016-10-01,2016,10,0.004
442,belgium,2016-11-01,2016,11,-0.001
443,belgium,2016-12-01,2016,12,0.005
444,belgium,2017-01-01,2017,1,-0.009000000000000001
445,belgium,2017-02-01,2017,2,0.019
446,belgium,2017-03-01,2017,3,0.0
447,belgium,2017-04-01,2017,4,0.003
448,belgium,2017-05-01,2017,5,-0.003
449,belgium,2017-06-01,2017,6,-0.001
450,belgium,2017-07-01,2017,7,-0.008
451,belgium,2017-08-01,2017,8,0.015
452,belgium,2017-09-01,2017,9,-0.005
453,belgium,2017-10-01,2017,10,0.003
454,belgium,2017-11-01,2017,11,0.002
455,belgium,2017-12-01,2017,12,0.004
456,belgium,2018-01-01,2018,1,-0.012
457,belgium,2018-02-01,2018,2,0.016
458,belgium,2018-03-01,2018,3,0.0
459,belgium,2018-04-01,2018,4,0.004
460,belgium,2018-05-01,2018,5,0.003
461,belgium,2018-06-01,2018,6,0.003
462,belgium,2018-07-01,2018,7,-0.006999999999999999
463,belgium,2018-08-01,2018,8,0.013999999999999999
464,belgium,2018-09-01,2018,9,-0.003
465,belgium,2018-10-01,2018,10,0.006999999999999999
466,belgium,2018-11-01,2018,11,-0.002
467,belgium,2018-12-01,2018,12,-0.002
468,belgium,2019-01-01,2019,1,-0.016
