,country,series,log,diff_level,diff_order,regression,stationary,p_value
453,greece,gdp,1,1,2,c,1,5.600678314289141e-08
454,greece,gdp,1,2,1,c,0,0.17602999634784205
455,greece,gdp,1,2,2,c,1,0.009050894962959731
456,greece,gdp,1,4,1,c,0,0.24745097909936892
457,greece,gdp,1,4,2,c,0,0.08042811982181503
458,greece,gdp,1,8,1,c,0,0.38389329434170066
459,greece,gdp,1,8,2,c,0,0.2475723020806176
460,greece,pop,0,0,1,c,0,0.405544911648028
461,greece,pop,0,0,2,c,0,0.405544911648028
462,greece,pop,0,1,1,c,0,0.4055008003732182
463,greece,pop,0,1,2,c,1,0.015003963254404144
464,greece,pop,0,2,1,c,0,0.45985808753608814
465,greece,pop,0,2,2,c,0,0.39980025345671716
466,greece,pop,0,4,1,c,0,0.6019370099776444
467,greece,pop,0,4,2,c,0,0.2484446447591166
468,greece,pop,0,8,1,c,0,0.5155886557240331
469,greece,pop,0,8,2,c,0,0.08225973603277908
470,greece,pop,1,0,1,c,0,0.40463570292801204
471,greece,pop,1,0,2,c,0,0.40463570292801204
472,greece,pop,1,1,1,c,0,0.40702167643040654
473,greece,pop,1,1,2,c,1,0.013703091511430688
474,greece,pop,1,2,1,c,0,0.46436013750044125
475,greece,pop,1,2,2,c,0,0.4056858919521147
476,greece,pop,1,4,1,c,0,0.60259981767179
477,greece,pop,1,4,2,c,0,0.24066878793336693
478,greece,pop,1,8,1,c,0,0.5168429003233016
479,greece,pop,1,8,2,c,0,0.0780568557075756
480,hungary,co2,0,0,1,c,0,0.5365701426689548
481,hungary,co2,0,0,2,c,0,0.5365701426689548
482,hungary,co2,0,1,1,c,1,9.986246102778194e-07
483,hungary,co2,0,1,2,c,1,2.6676929946823944e-06
484,hungary,co2,0,2,1,c,1,1.4786930367550372e-06
485,hungary,co2,0,2,2,c,1,1.3363358721556708e-07
