,country,date,year,quarter,infl
297,bulgaria,2014-04-01,2014,2,-0.002
298,bulgaria,2014-07-01,2014,3,-0.0006666666666666664
299,bulgaria,2014-10-01,2014,4,0.0
300,bulgaria,2015-01-01,2015,1,-0.0009999999999999998
301,bulgaria,2015-04-01,2015,2,0.0
302,bulgaria,2015-07-01,2015,3,-0.0016666666666666668
303,bulgaria,2015-10-01,2015,4,-0.0003333333333333333
304,bulgaria,2016-01-01,2016,1,-0.004333333333333334
305,bulgaria,2016-04-01,2016,2,-0.0003333333333333333
306,bulgaria,2016-07-01,2016,3,0.0010000000000000002
307,bulgaria,2016-10-01,2016,4,0.002
308,bulgaria,2017-01-01,2017,1,0.0006666666666666664
309,bulgaria,2017-04-01,2017,2,0.0003333333333333333
310,bulgaria,2017-07-01,2017,3,0.0016666666666666668
311,bulgaria,2017-10-01,2017,4,0.0036666666666666666
312,bulgaria,2018-01-01,2018,1,0.0006666666666666666
313,bulgaria,2018-04-01,2018,2,0.004
314,bulgaria,2018-07-01,2018,3,0.0033333333333333335
315,bulgaria,2018-10-01,2018,4,-0.0003333333333333333
316,bulgaria,2019-01-01,2019,1,0.0023333333333333335
317,bulgaria,2019-04-01,2019,2,0.0026666666666666666
318,bulgaria,2019-07-01,2019,3,0.0010000000000000002
319,bulgaria,2019-10-01,2019,4,0.004333333333333334
320,croatia,2000-01-01,2000,1,0.005666666666666667
321,croatia,2000-04-01,2000,2,0.006000000000000001
322,croatia,2000-07-01,2000,3,0.004
323,croatia,2000-10-01,2000,4,0.0033333333333333335
324,croatia,2001-01-01,2001,1,0.0016666666666666668
325,croatia,2001-04-01,2001,2,0.006666666666666667
326,croatia,2001-07-01,2001,3,0.000666666666666667
327,croatia,2001-10-01,2001,4,-0.001
328,croatia,2002-01-01,2002,1,0.004333333333333334
329,croatia,2002-04-01,2002,2,0.0026666666666666666
330,croatia,2002-07-01,2002,3,0.0013333333333333333
331,croatia,2002-10-01,2002,4,0.001
332,croatia,2003-01-01,2003,1,0.004
333,croatia,2003-04-01,2003,2,0.001
334,croatia,2003-07-01,2003,3,0.0006666666666666666
335,croatia,2003-10-01,2003,4,0.001
336,croatia,2004-01-01,2004,1,0.0036666666666666666
337,croatia,2004-04-01,2004,2,0.004
338,croatia,2004-07-01,2004,3,-0.0026666666666666666
339,croatia,2004-10-01,2004,4,0.002
340,croatia,2005-01-01,2005,1,0.005333333333333333
341,croatia,2005-04-01,2005,2,0.004333333333333333
342,croatia,2005-07-01,2005,3,0.0006666666666666666
343,croatia,2005-10-01,2005,4,0.0026666666666666666
344,croatia,2006-01-01,2006,1,0.004666666666666666
345,croatia,2006-04-01,2006,2,0.005333333333333333
346,croatia,2006-07-01,2006,3,-0.004333333333333334
347,croatia,2006-10-01,2006,4,0.001
348,croatia,2007-01-01,2007,1,0.004
349,croatia,2007-04-01,2007,2,0.0033333333333333327
350,croatia,2007-07-01,2007,3,0.0026666666666666666
351,croatia,2007-10-01,2007,4,0.007333333333333334
352,croatia,2008-01-01,2008,1,0.004333333333333333
353,croatia,2008-04-01,2008,2,0.009666666666666667
354,croatia,2008-07-01,2008,3,-0.0006666666666666666
355,croatia,2008-10-01,2008,4,-0.0033333333333333327
356,croatia,2009-01-01,2009,1,0.006000000000000001
357,croatia,2009-04-01,2009,2,0.004666666666666667
358,croatia,2009-07-01,2009,3,-0.0036666666666666666
359,croatia,2009-10-01,2009,4,-0.0003333333333333333
360,croatia,2010-01-01,2010,1,0.0033333333333333335
361,croatia,2010-04-01,2010,2,0.0030000000000000005
362,croatia,2010-07-01,2010,3,-0.002
363,croatia,2010-10-01,2010,4,0.0006666666666666666
364,croatia,2011-01-01,2011,1,0.006333333333333334
365,croatia,2011-04-01,2011,2,0.0013333333333333333
