country,date,year,quarter,co2,gdp,ind_prod,infl,unempl,pop,brent,co2_cap
lithuania,2001-01-01,2001,1,0.05565699751327813,0.024104390420000003,-99999.0,-0.0010000000000000005,0.011333333333333334,-99999.0,-0.1387195342060279,0.06389198372353544
lithuania,2001-04-01,2001,2,0.07109087779880596,0.00357593243,-99999.0,0.002666666666666667,-0.0020000000000000018,-99999.0,0.0526965865604927,0.07932586400906594
lithuania,2001-07-01,2001,3,0.016384034173519524,0.02008810203,-99999.0,-0.006,-0.007333333333333331,-99999.0,-0.07497328447257612,0.0246190203837795
lithuania,2001-10-01,2001,4,0.08452649926414324,0.02371545861,-99999.0,0.003333333333333333,0.007000000000000006,-99999.0,-0.2682437198847758,0.09276148547440499
lithuania,2002-01-01,2002,1,-0.02820787835530325,0.0011004295100000001,-99999.0,-0.0016666666666666663,-0.01566666666666669,-99999.0,0.08815915329928004,-0.020194991790698502
lithuania,2002-04-01,2002,2,0.014733050688001015,0.0313202563,-99999.0,-0.002666666666666667,-0.024666666666666642,-99999.0,0.1701553131020841,0.02274593725260221
lithuania,2002-07-01,2002,3,0.06322218073439956,0.01751409515,-99999.0,-0.0023333333333333335,-0.005666666666666681,-99999.0,0.07223402094635212,0.07123506729899898
lithuania,2002-10-01,2002,4,0.050574444332951884,0.015088978959999999,-99999.0,0.008333333333333333,-0.0010000000000000009,-99999.0,-0.007205000112783466,0.05858733089755486
lithuania,2003-01-01,2003,1,0.09593710099929709,0.04370138071000001,-99999.0,-0.0036666666666666666,-0.003333333333333341,-99999.0,0.16458635827895485,0.10407327291027624
lithuania,2003-04-01,2003,2,0.017845930657628628,0.01485565915,-99999.0,0.0003333333333333333,0.005333333333333343,-99999.0,-0.18600854844762438,0.025982102568609555
lithuania,2003-07-01,2003,3,-0.02180484618737566,0.02824170649,-99999.0,-0.006333333333333332,-0.005666666666666667,-99999.0,0.08353444403028565,-0.013668674276393844
lithuania,2003-10-01,2003,4,-0.06269014942078854,0.01783152079,-99999.0,0.007666666666666666,-0.005666666666666681,-99999.0,0.032506319858486066,-0.054553977509808504
lithuania,2004-01-01,2004,1,-0.0019469232995454888,0.00956934934,-99999.0,-0.0006666666666666668,-0.004666666666666666,-99999.0,0.08268271443459252,0.00927178011533858
lithuania,2004-04-01,2004,2,0.0949615282102414,0.01861657399,-99999.0,0.005666666666666667,-0.0049999999999999906,-99999.0,0.10469202454266391,0.1061802316251228
lithuania,2004-07-01,2004,3,0.07778966246582897,0.00649327487,-99999.0,-0.006,-0.0013333333333333253,-99999.0,0.15492954835871675,0.08900836588071304
lithuania,2004-10-01,2004,4,0.038314655652754936,0.02310773292,-99999.0,0.0,-0.0026666666666666783,-99999.0,0.06493611444512304,0.04953335906763989
lithuania,2005-01-01,2005,1,0.09806017347239404,0.02167025288,-99999.0,0.002,-0.009666666666666657,-99999.0,0.0769666320386122,0.1143600149138635
lithuania,2005-04-01,2005,2,0.021505776134375765,0.01593459825,-99999.0,0.0,-0.005666666666666667,-99999.0,0.07917682060962239,0.03780561757584522
lithuania,2005-07-01,2005,3,0.01831692685732733,0.02697063351,-99999.0,0.0,-0.012333333333333335,-99999.0,0.174510916058761,0.03461676829879412
lithuania,2005-10-01,2005,4,0.05951501497055034,0.01853488641,-99999.0,-0.00033333333333333305,-0.006999999999999992,-99999.0,-0.07760546542393243,0.07581485641201713
lithuania,2006-01-01,2006,1,0.02950245678254504,0.00846497275,-99999.0,0.00033333333333333305,-0.006000000000000005,-99999.0,0.08220416966278599,0.045460564986010255
lithuania,2006-04-01,2006,2,0.0623888214702788,0.022950548770000002,-99999.0,0.0019999999999999996,-0.006000000000000012,-99999.0,0.11865829874079115,0.07834692967374401
lithuania,2006-07-01,2006,3,0.029373002352510724,0.01726121594,-99999.0,-0.003666666666666666,-0.0006666666666666626,-99999.0,0.0012456284847308652,0.045331110555978604
lithuania,2006-10-01,2006,4,-0.04708045575918263,0.02728148473,-99999.0,0.005666666666666667,-0.006666666666666668,-99999.0,-0.15405492648778818,-0.03112234755571741
lithuania,2007-01-01,2007,1,0.023875250629497913,0.03501133049,-99999.0,-0.0033333333333333335,-0.007333333333333331,-99999.0,-0.03264275291146124,0.03575012098859709
lithuania,2007-04-01,2007,2,0.056463129038689885,0.02547457456,-99999.0,0.0023333333333333335,-0.0003333333333333313,-99999.0,0.1716953479050254,0.06833799939779173
lithuania,2007-07-01,2007,3,0.11010136322744657,0.02680544264,-99999.0,0.001999999999999999,-0.0010000000000000009,-99999.0,0.08881614676443483,0.12197623358654575
lithuania,2007-10-01,2007,4,0.15441803745994065,0.01722824249,-99999.0,0.002666666666666667,-0.0016666666666666705,-99999.0,0.16681459074687766,0.1662929078190425
lithuania,2008-01-01,2008,1,0.017928329451265768,-0.0049003510500000005,-99999.0,0.003000000000000001,0.0010000000000000009,-99999.0,0.0903775558950839,0.028224710950757625
lithuania,2008-04-01,2008,2,0.010030257712742241,0.0066826847,-99999.0,-0.004333333333333333,0.00233333333333334,-99999.0,0.22500557651200292,0.02032663921223321
lithuania,2008-07-01,2008,3,0.03693679400682015,-0.01245050091,-99999.0,-0.005333333333333334,0.01966666666666666,-99999.0,-0.059391479815414705,0.0472331755063129
lithuania,2008-10-01,2008,4,0.016919260182461926,-0.00792709496,-99999.0,-0.002333333333333333,0.019666666666666666,-99999.0,-0.7385397604921318,0.02721564168195112
lithuania,2009-01-01,2009,1,-0.08879973633058569,-0.1285817729,-99999.0,0.008333333333333333,0.02366666666666667,-99999.0,-0.2071422419833686,-0.0777009130562547
lithuania,2009-04-01,2009,2,-0.1631389215600514,-0.01319400421,-99999.0,-0.011666666666666667,0.026333333333333334,-99999.0,0.2783930007880233,-0.1520400982857213
lithuania,2009-07-01,2009,3,-0.16573347379846837,0.00412855649,-99999.0,0.0006666666666666668,0.015666666666666662,-99999.0,0.15006162554483993,-0.15463465052414094
lithuania,2009-10-01,2009,4,-0.09041584121739277,-0.01087864526,-99999.0,-0.0006666666666666668,0.01366666666666666,-99999.0,0.09009800629387943,-0.07931701794306356
lithuania,2010-01-01,2010,1,0.023369605988605713,0.00770190811,-99999.0,0.006666666666666667,0.010666666666666685,-99999.0,0.021474844344225197,0.04432817002109779
lithuania,2010-04-01,2010,2,0.056808523301352665,0.012573408040000001,-99999.0,-0.002666666666666667,0.008666666666666684,-99999.0,0.02920858972264284,0.07776708733384474
lithuania,2010-07-01,2010,3,0.03504512671969451,0.00442329176,-99999.0,-0.0006666666666666668,-0.00033333333333335213,-99999.0,-0.021760982292405195,0.05600369075218836
lithuania,2010-10-01,2010,4,0.03763377259019052,0.02367669607,-99999.0,0.002666666666666667,-0.005333333333333329,-99999.0,0.11829396029647476,0.05859233662268615
lithuania,2011-01-01,2011,1,0.0736125086699424,0.01912547552,-99999.0,0.001,-0.008000000000000007,-99999.0,0.19382034198154496,0.09620791277736362
lithuania,2011-04-01,2011,2,0.004313279953745308,0.014203107610000001,-99999.0,0.000666666666666667,-0.010333333333333333,-99999.0,0.1116668086389474,0.026908684061166532
lithuania,2011-07-01,2011,3,-0.008809702560714783,0.0086357686,-99999.0,-0.005,-0.0050000000000000044,-99999.0,-0.03485398309325305,0.013785701546704665
lithuania,2011-10-01,2011,4,-0.04613125469596824,0.01084746008,-99999.0,-0.0006666666666666666,-0.01633333333333331,-99999.0,-0.03541173044387058,-0.023535850588546126
